operazione,ripetizioni,media_ms,dev_std_ms,min_ms,max_ms
keygen RSA-2048,25,42.215972,16.914014,12.729000,80.197900
RSA-OAEP encrypt (voto 4 B),200,0.064962,0.500908,0.026600,7.129400
RSA-OAEP decrypt,200,0.572940,0.119925,0.524800,1.345800
firma hash-and-sign RSA-PSS (256 B),200,0.567754,0.213498,0.526400,3.320200
verifica firma hash-and-sign RSA-PSS,200,0.030093,0.002770,0.029400,0.066300
SHA-256 (256 B),4000,0.001758,0.013849,0.001400,0.877100
costruzione Merkle Tree (n=4096),20,11.658135,1.383752,10.595500,15.607100
generazione Merkle proof (n=4096),200,0.005221,0.001346,0.004300,0.018400
verifica Merkle proof (n=4096),200,0.019448,0.001672,0.018700,0.040000
verifica hash chain (n=2000),10,93.889100,2.136533,92.582300,100.050700
